"answer","question"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_okul_başlangıç"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_başlangıç_tarih"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_başlangıç_tarihi"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_dersleri_hangi_gün_başlayacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_başlangıç"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_okul_ne_zaman_başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_ne_zaman_başlıycak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_hangi gün başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk_dönem_dersler_ne_zaman_başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","Okul ilk dönem ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk dönem dersler ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","Okulun ilk dönemi ne zaman başlayacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk dönemin açılış tarihi nedir"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk dönem hangi tarihte başlar"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","İlk dönem ne zaman başlayacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul_başlangıç"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul_ne_zaman_başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul_başlangıç_tarihi"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul ne zaman açılıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul ne zaman başlayacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul açılış tarihi nedir"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul hangi tarihte başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul başlangıcı ne zaman"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okullar ne zaman açılıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okullar ne zaman başlar"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","üniversite ne zaman açılacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun açılma tarihi ne"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","dersler ne zaman başlayacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun başlamasına ne kadar kaldı"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okul açılış günü ne zaman"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","1.dönem_hangi gün başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","1.dönem okul başlangıç"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","1.dönem okul ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","1.dönem dersler ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem okul ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun birinci dönemi ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun ilk dönemi ne zaman açılıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem hangi gün başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","1.dönem ders başlangıç tarihi ne zaman"
